Leeftijd;Jaar;Levende mannen;Levende vrouwen
61;2013;92111;94170
62;2013;91369;93657
63;2013;90628;93033
64;2013;89792;92405
65;2013;88843;91733
66;2013;87833;91030
67;2013;86730;90248
68;2013;85500;89481
69;2013;84133;88559
70;2013;82662;87578
71;2013;81065;86507
72;2013;79329;85426
73;2013;77497;84261
74;2013;75536;82983
75;2013;73271;81490
76;2013;71025;79934
77;2013;68533;78180
78;2013;65824;76286
79;2013;62898;74207
80;2013;59760;71905
81;2013;56317;69188
82;2013;52661;66212
83;2013;48785;63147
84;2013;44821;59756
85;2013;40735;56078
86;2013;36578;52173
87;2013;32375;47846
88;2013;28260;43328
89;2013;24081;38627
90;2013;20292;34096
91;2013;16879;29411
92;2013;13582;24977
93;2013;10561;20715
94;2013;8076;16726
95;2013;5984;13136
96;2013;4316;10108
97;2013;3038;7410
98;2013;2018;5387
99;2013;1283;3612
0;2014;100000;100000
1;2014;99637;99714
2;2014;99597;99668
3;2014;99572;99651
5;2014;99551;99630
6;2014;99544;99622
7;2014;99532;99615
8;2014;99523;99606
9;2014;99518;99598
10;2014;99507;99593
11;2014;99499;99583
12;2014;99489;99574
13;2014;99477;99568
14;2014;99464;99555
15;2014;99458;99545
16;2014;99448;99531
17;2014;99425;99518
18;2014;99399;99500
19;2014;99371;99480
20;2014;99336;99458
21;2014;99304;99446
22;2014;99277;99430
23;2014;99248;99413
24;2014;99222;99393
25;2014;99180;99371
26;2014;99133;99347
27;2014;99097;99328
28;2014;99053;99309
29;2014;99010;99278
30;2014;98969;99248
31;2014;98925;99218
32;2014;98864;99191
33;2014;98812;99161
34;2014;98752;99127
35;2014;98695;99089
36;2014;98624;99056
37;2014;98559;99023
38;2014;98485;98969
39;2014;98400;98925
40;2014;98332;98864
41;2014;98247;98813
42;2014;98157;98737
43;2014;98056;98650
44;2014;97946;98558
45;2014;97803;98471
46;2014;97662;98354
47;2014;97514;98229
48;2014;97356;98089
49;2014;97139;97957
50;2014;96922;97779
51;2014;96687;97596
52;2014;96440;97375
53;2014;96167;97154
54;2014;95841;96889
55;2014;95441;96620
56;2014;95044;96309
57;2014;94618;95977
58;2014;94145;95610
59;2014;93624;95206
60;2014;93057;94756
61;2014;92408;94273
62;2014;91676;93728
63;2014;90896;93197
64;2014;90060;92565
65;2014;89180;91933
66;2014;88202;91252
67;2014;87189;90491
68;2014;86057;89676
69;2014;84782;88812
70;2014;83349;87844
71;2014;81832;86810
72;2014;80211;85686
73;2014;78459;84424
74;2014;76596;83125
75;2014;74539;81718
76;2014;72345;80177
77;2014;69930;78485
78;2014;67290;76607
79;2014;64496;74563
80;2014;61382;72287
81;2014;57986;69883
82;2014;54457;67203
83;2014;50663;64168
84;2014;46773;60663
85;2014;42746;57022
86;2014;38496;53234
87;2014;34178;49010
88;2014;30085;44616
89;2014;25937;40211
90;2014;22046;35491
91;2014;18357;30848
92;2014;15052;26070
93;2014;11936;21724
94;2014;9130;17705
95;2014;6876;14095
96;2014;5122;10915
97;2014;3599;8127
98;2014;2492;5969
99;2014;1626;4102
0;2015;100000;100000
1;2015;99687;99734
2;2015;99631;99693
3;2015;99613;99674
5;2015;99585;99663
6;2015;99572;99658
7;2015;99570;99651
8;2015;99560;99646
9;2015;99554;99639
10;2015;99549;99631
11;2015;99541;99618
12;2015;99534;99610
13;2015;99528;99608
14;2015;99523;99598
15;2015;99505;99591
16;2015;99498;99576
17;2015;99486;99565
18;2015;99463;99551
19;2015;99434;99540
20;2015;99402;99528
21;2015;99374;99511
22;2015;99340;99494
23;2015;99301;99479
24;2015;99269;99469
25;2015;99229;99457
26;2015;99180;99439
27;2015;99133;99416
28;2015;99078;99394
29;2015;99037;99374
30;2015;98997;99347
31;2015;98950;99317
32;2015;98898;99294
33;2015;98846;99270
34;2015;98786;99241
35;2015;98734;99206
36;2015;98675;99153
37;2015;98611;99116
38;2015;98538;99068
39;2015;98472;99024
40;2015;98380;98966
41;2015;98283;98914
42;2015;98193;98843
43;2015;98092;98771
44;2015;97976;98683
45;2015;97854;98582
46;2015;97737;98480
47;2015;97566;98369
48;2015;97404;98237
49;2015;97214;98075
50;2015;97009;97932
51;2015;96762;97737
52;2015;96511;97524
53;2015;96214;97306
54;2015;95904;97055
55;2015;95562;96784
56;2015;95175;96455
57;2015;94747;96118
58;2015;94290;95747
59;2015;93778;95340
60;2015;93186;94896
61;2015;92527;94418
62;2015;91814;93870
63;2015;91030;93261
64;2015;90194;92633
65;2015;89290;91949
66;2015;88280;91248
67;2015;87177;90470
68;2015;85991;89649
69;2015;84721;88735
70;2015;83342;87784
71;2015;81749;86721
72;2015;79999;85532
73;2015;78188;84290
74;2015;76322;83045
75;2015;74178;81624
76;2015;71846;80083
77;2015;69375;78386
78;2015;66839;76487
79;2015;63943;74340
80;2015;60810;72064
81;2015;57500;69417
82;2015;53846;66520
83;2015;50064;63389
84;2015;46113;59927
85;2015;42010;56285
86;2015;37811;52329
87;2015;33367;48009
88;2015;29161;43487
89;2015;25080;38801
90;2015;21269;33997
91;2015;17598;29430
92;2015;14092;24911
93;2015;11154;20502
94;2015;8326;16433
95;2015;6149;12824
96;2015;4436;9800
97;2015;3113;7215
98;2015;2137;5116
99;2015;1380;3512
0;2016;100000;100000
1;2016;99671;99709
2;2016;99626;99664
3;2016;99604;99651
5;2016;99572;99633
6;2016;99565;99624
7;2016;99557;99615
8;2016;99554;99611
9;2016;99546;99603
10;2016;99540;99593
11;2016;99538;99583
12;2016;99531;99577
13;2016;99522;99569
14;2016;99516;99564
15;2016;99505;99559
16;2016;99490;99551
17;2016;99477;99542
18;2016;99460;99529
19;2016;99435;99521
20;2016;99402;99497
21;2016;99371;99470
22;2016;99337;99456
23;2016;99289;99438
24;2016;99248;99420
25;2016;99209;99403
26;2016;99169;99382
27;2016;99137;99357
28;2016;99089;99335
29;2016;99050;99305
30;2016;99006;99276
31;2016;98963;99247
32;2016;98909;99216
33;2016;98857;99176
34;2016;98788;99131
35;2016;98733;99093
36;2016;98666;99050
37;2016;98605;99006
38;2016;98537;98950
39;2016;98473;98899
40;2016;98412;98847
41;2016;98341;98777
42;2016;98243;98706
43;2016;98139;98648
44;2016;98008;98573
45;2016;97879;98482
46;2016;97707;98377
47;2016;97562;98260
48;2016;97388;98129
49;2016;97207;97976
50;2016;97017;97829
51;2016;96807;97640
52;2016;96574;97423
53;2016;96295;97187
54;2016;95990;96914
55;2016;95639;96630
56;2016;95257;96314
57;2016;94801;95989
58;2016;94309;95576
59;2016;93828;95159
60;2016;93279;94718
61;2016;92644;94238
62;2016;91924;93735
63;2016;91155;93140
64;2016;90303;92513
65;2016;89351;91900
66;2016;88370;91165
67;2016;87308;90419
68;2016;86123;89595
69;2016;84852;88676
70;2016;83484;87707
71;2016;82015;86680
72;2016;80335;85528
73;2016;78574;84291
74;2016;76658;82989
75;2016;74577;81538
76;2016;72322;80003
77;2016;69904;78256
78;2016;67297;76389
79;2016;64484;74287
80;2016;61445;72034
81;2016;58124;69493
82;2016;54568;66799
83;2016;50859;63637
84;2016;46737;60356
85;2016;42648;56716
86;2016;38341;52738
87;2016;33977;48538
88;2016;29676;44002
89;2016;25510;39340
90;2016;21536;34601
91;2016;17852;29761
92;2016;14317;25055
93;2016;11260;20703
94;2016;8678;16694
95;2016;6499;13117
96;2016;4611;9918
97;2016;3183;7278
98;2016;2230;5119
99;2016;1504;3566
0;2017;100000;100000
1;2017;99646;99720
2;2017;99598;99674
3;2017;99577;99660
5;2017;99558;99643
6;2017;99548;99636
7;2017;99533;99627
8;2017;99525;99622
9;2017;99518;99613
10;2017;99508;99608
11;2017;99502;99603
12;2017;99498;99595
13;2017;99482;99589
14;2017;99469;99580
15;2017;99453;99570
16;2017;99432;99561
17;2017;99417;99549
18;2017;99387;99534
19;2017;99353;99517
20;2017;99323;99501
21;2017;99279;99488
22;2017;99245;99473
23;2017;99218;99461
24;2017;99177;99444
25;2017;99127;99420
26;2017;99083;99403
27;2017;99036;99389
28;2017;98993;99370
29;2017;98946;99354
30;2017;98890;99332
31;2017;98849;99306
32;2017;98813;99276
33;2017;98758;99254
34;2017;98685;99217
35;2017;98638;99183
36;2017;98592;99137
37;2017;98520;99102
38;2017;98457;99058
39;2017;98382;99001
40;2017;98293;98937
41;2017;98216;98877
42;2017;98127;98821
43;2017;98027;98740
44;2017;97912;98652
45;2017;97773;98558
46;2017;97640;98465
47;2017;97497;98359
48;2017;97322;98235
49;2017;97136;98087
50;2017;96921;97922
51;2017;96723;97748
52;2017;96480;97558
53;2017;96221;97370
54;2017;95909;97133
55;2017;95574;96863
56;2017;95184;96560
57;2017;94796;96231
58;2017;94365;95914
59;2017;93868;95497
60;2017;93303;95076
61;2017;92682;94623
62;2017;91975;94105
63;2017;91262;93519
64;2017;90429;92919
65;2017;89533;92269
66;2017;88558;91618
67;2017;87541;90830
68;2017;86447;90024
69;2017;85224;89207
70;2017;83908;88264
71;2017;82455;87266
72;2017;80896;86147
73;2017;79119;84916
74;2017;77243;83597
75;2017;75214;82165
76;2017;72993;80619
77;2017;70638;78859
78;2017;68135;76923
79;2017;65467;74887
80;2017;62475;72650
81;2017;59122;70149
82;2017;55532;67380
83;2017;51838;64314
84;2017;47994;60895
85;2017;43852;57284
86;2017;39488;53224
87;2017;35078;49032
88;2017;30763;44521
89;2017;26456;39662
90;2017;22358;34868
91;2017;18485;29982
92;2017;14992;25484
93;2017;11893;20911
94;2017;9137;16700
95;2017;6765;12850
96;2017;4937;9799
97;2017;3376;7210
98;2017;2242;5034
99;2017;1448;3500
0;2018;100000;100000
1;2018;99654;99728
2;2018;99608;99687
3;2018;99586;99673
5;2018;99563;99649
6;2018;99559;99640
7;2018;99549;99629
8;2018;99542;99620
9;2018;99534;99619
10;2018;99528;99610
11;2018;99522;99607
12;2018;99513;99606
13;2018;99508;99600
14;2018;99496;99598
15;2018;99484;99594
16;2018;99471;99582
17;2018;99449;99567
18;2018;99426;99556
19;2018;99404;99534
20;2018;99372;99523
21;2018;99331;99503
22;2018;99302;99483
23;2018;99257;99471
24;2018;99228;99456
25;2018;99192;99439
26;2018;99147;99424
27;2018;99108;99399
28;2018;99072;99377
29;2018;99015;99360
30;2018;98969;99330
31;2018;98920;99303
32;2018;98855;99278
33;2018;98808;99234
34;2018;98754;99204
35;2018;98704;99174
36;2018;98639;99133
37;2018;98577;99096
38;2018;98496;99060
39;2018;98424;99015
40;2018;98348;98960
41;2018;98275;98902
42;2018;98181;98846
43;2018;98079;98758
44;2018;97965;98686
45;2018;97846;98586
46;2018;97699;98493
47;2018;97570;98374
48;2018;97401;98250
49;2018;97198;98126
50;2018;97002;97988
51;2018;96821;97822
52;2018;96577;97636
53;2018;96295;97419
54;2018;96027;97198
55;2018;95684;96951
56;2018;95322;96646
57;2018;94941;96344
58;2018;94475;95971
59;2018;93967;95584
60;2018;93426;95156
61;2018;92804;94675
62;2018;92141;94155
63;2018;91400;93587
64;2018;90576;92969
65;2018;89684;92341
66;2018;88710;91613
67;2018;87638;90843
68;2018;86486;90061
69;2018;85257;89227
70;2018;83922;88346
71;2018;82476;87308
72;2018;80948;86190
73;2018;79197;84980
74;2018;77297;83595
75;2018;75248;82095
76;2018;73047;80565
77;2018;70724;78791
78;2018;68167;76896
79;2018;65521;74761
80;2018;62584;72524
81;2018;59330;70049
82;2018;56052;67336
83;2018;52246;64333
84;2018;48398;60912
85;2018;44378;57336
86;2018;40217;53350
87;2018;35727;48997
88;2018;31340;44406
89;2018;26891;39742
90;2018;22661;34759
91;2018;18554;30083
92;2018;14923;25379
93;2018;11745;20849
94;2018;9030;16628
95;2018;6659;12933
96;2018;4757;9711
97;2018;3270;7116
98;2018;2233;4953
99;2018;1477;3397
0;2019;100000;100000
1;2019;99650;99713
2;2019;99599;99656
3;2019;99572;99633
5;2019;99551;99617
6;2019;99542;99614
7;2019;99533;99609
8;2019;99528;99604
9;2019;99525;99598
10;2019;99523;99593
11;2019;99517;99584
12;2019;99510;99582
13;2019;99503;99577
14;2019;99496;99571
15;2019;99486;99561
16;2019;99472;99554
17;2019;99456;99540
18;2019;99443;99529
19;2019;99418;99507
20;2019;99378;99490
21;2019;99338;99471
22;2019;99303;99458
23;2019;99263;99434
24;2019;99214;99404
25;2019;99188;99385
26;2019;99149;99370
27;2019;99111;99356
28;2019;99061;99327
29;2019;99018;99302
30;2019;98987;99264
31;2019;98936;99240
32;2019;98898;99214
33;2019;98847;99178
34;2019;98799;99146
35;2019;98739;99110
36;2019;98672;99068
37;2019;98602;99026
38;2019;98536;98990
39;2019;98460;98942
40;2019;98380;98889
41;2019;98299;98827
42;2019;98191;98765
43;2019;98093;98700
44;2019;97970;98623
45;2019;97848;98531
46;2019;97707;98439
47;2019;97582;98317
48;2019;97425;98206
49;2019;97257;98084
50;2019;97065;97952
51;2019;96846;97799
52;2019;96604;97625
53;2019;96333;97405
54;2019;96057;97175
55;2019;95758;96937
56;2019;95402;96676
57;2019;95008;96368
58;2019;94588;96040
59;2019;94112;95687
60;2019;93562;95274
61;2019;92969;94840
62;2019;92352;94350
63;2019;91623;93809
64;2019;90900;93238
65;2019;90044;92586
66;2019;89134;91919
67;2019;88086;91195
68;2019;87018;90395
69;2019;85860;89476
70;2019;84532;88570
71;2019;83121;87491
72;2019;81653;86399
73;2019;80016;85217
74;2019;78224;83927
75;2019;76224;82443
76;2019;74027;80902
77;2019;71712;79135
78;2019;69212;77291
79;2019;66600;75258
80;2019;63643;73018
81;2019;60361;70559
82;2019;57009;67863
83;2019;53392;64842
84;2019;49587;61575
85;2019;45495;57990
86;2019;41236;54172
87;2019;36801;50008
88;2019;32439;45629
89;2019;27896;41017
90;2019;23701;36270
91;2019;19646;31309
92;2019;15883;26514
93;2019;12588;22004
94;2019;9624;17763
95;2019;7303;13990
96;2019;5275;10699
97;2019;3683;7932
98;2019;2558;5693
99;2019;1654;3925
