,Life event,ID,Date,Gender,Age,Life expectancy,Marital status,Marriage duration,Marriage intention,Marriage age:,Employment status,Income,Capital,Children,Nr children,Birth age,Alive
38,Life event: Created,38,2011-01-01,Male,76,44,Widowed,0,No,,Retired,4485,391212,Yes,0,,1
39,Life event: Created,39,2011-01-01,Male,74,98,Married,25,Yes,,Retired,87616,671,Yes,2,,1
40,Life event: Created,40,2011-01-01,Male,56,81,Single,0,Yes,28.0,Permanent contract,38116,4811,Yes,0,,1
41,Life event: Created,41,2011-01-01,Female,14,53,Single,0,No,,Child,0,0,No,0,27.0,1
42,Life event: Created,42,2011-01-01,Female,3,83,Single,0,No,,Child,0,0,Yes,0,33.0,1
43,Life event: Created,43,2011-01-01,Male,57,98,Married,48,No,,Flexible contract,45602,-21255,No,1,,1
44,Life event: Created,44,2011-01-01,Female,39,96,Single,0,Yes,30.0,Flexible contract,92561,78431,No,0,,1
45,Life event: Created,45,2011-01-01,Male,56,96,Married,24,No,,Flexible contract,17188,62683,No,2,,1
46,Life event: Created,46,2011-01-01,Male,39,97,Single,0,Yes,37.0,Permanent contract,13779,516184,No,0,,1
47,Life event: Created,47,2011-01-01,Female,55,98,Married,45,Yes,,Permanent contract,37913,3370,Yes,3,,1
48,Life event: Created,48,2011-01-01,Male,6,48,Single,0,Yes,30.0,Child,0,0,Yes,0,,1
49,Life event: Created,49,2011-01-01,Female,35,94,Single,0,Yes,28.0,Unemployed,45920,4014075,No,0,,1
50,Life event: Created,50,2011-01-01,Female,34,45,Single,0,No,,Entrepreneur without personnel,26620,14128,No,0,,1
51,Life event: Created,51,2011-01-01,Female,35,98,Married,24,No,,Permanent contract,35430,-15053,No,3,,1
52,Life event: Created,52,2011-01-01,Female,65,26,Married,2,No,,Flexible contract,1678,-12276,Yes,1,,1
53,Life event: Created,53,2011-01-01,Female,99,3,Widowed,0,Yes,,Retired,33509,209155,Yes,0,,1
54,Life event: Created,54,2011-01-01,Male,29,53,Single,0,Yes,30.0,Unemployed,96391,-9139,No,0,,1
1721,Life event: Married,54,2012-07-02,Male,30,53,Married,0,Yes,30.0,Unemployed,96391,-9139,No,0,,1
55,Life event: Created,55,2011-01-01,Male,14,95,Single,0,Yes,45.0,Child,0,0,No,0,,1
56,Life event: Created,56,2011-01-01,Male,9,98,Single,0,No,,Child,0,0,Yes,0,,1
57,Life event: Created,57,2011-01-01,Male,24,91,Single,0,No,,Permanent contract,10570,477153,Yes,0,,1
58,Life event: Created,58,2011-01-01,Male,96,77,Widowed,0,No,,Retired,30659,11379,Yes,0,,1
59,Life event: Created,59,2011-01-01,Female,80,98,Married,49,No,,Retired,36786,339223,Yes,2,,1
60,Life event: Created,60,2011-01-01,Male,10,97,Single,0,Yes,40.0,Child,0,0,Yes,0,,1
61,Life event: Created,61,2011-01-01,Female,4,98,Single,0,Yes,38.0,Child,0,0,Yes,0,27.0,1
62,Life event: Created,62,2011-01-01,Female,96,19,Widowed,0,Yes,,Retired,9767,2488,Yes,0,,1
63,Life event: Created,63,2011-01-01,Male,63,83,Married,21,No,,Entrepreneur without personnel,8740,18145,Yes,1,,1
64,Life event: Created,64,2011-01-01,Female,52,86,Married,24,Yes,,Permanent contract,12496,42991,Yes,1,,1
65,Life event: Created,65,2011-01-01,Female,10,94,Single,0,No,,Child,0,0,No,0,32.0,1
66,Life event: Created,66,2011-01-01,Male,63,98,Married,43,No,,Permanent contract,31523,198020,No,1,,1
67,Life event: Created,67,2011-01-01,Female,32,43,Single,0,No,,Permanent contract,27900,-29888,Yes,0,,1
68,Life event: Created,68,2011-01-01,Female,61,38,Married,30,Yes,,Permanent contract,45867,67918,Yes,1,,1
69,Life event: Created,69,2011-01-01,Male,67,19,Divorced,0,No,,Flexible contract,33667,713309,Yes,0,,1
70,Life event: Created,70,2011-01-01,Female,22,66,Single,0,Yes,29.0,Permanent contract,15365,648,Yes,0,28.0,1
71,Life event: Created,71,2011-01-01,Male,75,90,Widowed,0,Yes,,Retired,38917,698,No,0,,1
72,Life event: Created,72,2011-01-01,Male,39,98,Married,42,Yes,,Permanent contract,16792,17762,Yes,1,,1
73,Life event: Created,73,2011-01-01,Male,34,97,Married,10,Yes,,Permanent contract,35781,653791,No,3,,1
74,Life event: Created,74,2011-01-01,Male,29,97,Single,0,No,,Permanent contract,189046,178832,No,0,,1
75,Life event: Created,75,2011-01-01,Male,2,95,Single,0,No,,Child,0,0,No,0,,1
76,Life event: Created,76,2011-01-01,Male,5,83,Single,0,No,,Child,0,0,No,0,,1
77,Life event: Created,77,2011-01-01,Female,11,91,Single,0,No,,Child,0,0,Yes,0,24.0,1
78,Life event: Created,78,2011-01-01,Female,3,98,Single,0,No,,Child,0,0,No,0,32.0,1
79,Life event: Created,79,2011-01-01,Female,63,89,Married,3,No,,Flexible contract,41217,71619,Yes,2,,1
80,Life event: Created,80,2011-01-01,Female,58,47,Married,25,No,,Flexible contract,12557,188572,No,3,,1
81,Life event: Created,81,2011-01-01,Female,16,25,Single,0,No,,Child,0,0,No,0,29.0,1
82,Life event: Created,82,2011-01-01,Male,104,82,Widowed,0,Yes,,Retired,69644,3035,Yes,0,,1
83,Life event: Created,83,2011-01-01,Male,45,95,Married,35,No,,Permanent contract,80026,-18990,No,2,,1
84,Life event: Created,84,2011-01-01,Female,45,78,Married,0,Yes,,Permanent contract,25577,83159,No,1,,1
1676,Life event: Divorced,84,2011-05-16,Female,45,78,Divorced,0,Yes,,Permanent contract,25577,83159,No,1,,1
85,Life event: Created,85,2011-01-01,Male,47,96,Married,42,Yes,,Flexible contract,18630,209079,Yes,1,,1
86,Life event: Created,86,2011-01-01,Female,19,1,Single,0,No,,Permanent contract,49427,18873,Yes,0,28.0,1
87,Life event: Created,87,2011-01-01,Male,3,95,Single,0,No,,Child,0,0,Yes,0,,1
88,Life event: Created,88,2011-01-01,Male,58,98,Divorced,0,Yes,,Permanent contract,162591,444646,No,0,,1
89,Life event: Created,89,2011-01-01,Male,1,92,Single,0,Yes,25.0,Child,0,0,No,0,,1
90,Life event: Created,90,2011-01-01,Female,17,93,Single,0,No,,Child,0,0,Yes,0,37.0,1
1715,Life event: Adulthood,90,2012-03-28,Female,18,93,Single,0,No,,Unemployed,31914,3123,Yes,0,37.0,1
91,Life event: Created,91,2011-01-01,Female,30,97,Married,31,Yes,,Permanent contract,43807,158994,Yes,2,33.0,1
92,Life event: Created,92,2011-01-01,Male,29,95,Single,0,Yes,37.0,Permanent contract,27691,-38578,Yes,0,,1
93,Life event: Created,93,2011-01-01,Female,63,96,Married,58,Yes,,Flexible contract,39108,52368,Yes,1,,1
94,Life event: Created,94,2011-01-01,Female,11,98,Single,0,No,,Child,0,0,No,0,28.0,1
95,Life event: Created,95,2011-01-01,Male,11,98,Single,0,No,,Child,0,0,No,0,,1
96,Life event: Created,96,2011-01-01,Male,16,91,Single,0,No,,Child,0,0,No,0,,1
97,Life event: Created,97,2011-01-01,Female,44,96,Married,28,No,,Permanent contract,53979,144742,Yes,2,,1
98,Life event: Created,98,2011-01-01,Male,71,96,Widowed,0,Yes,,Retired,49126,99313,Yes,0,,1
99,Life event: Created,99,2011-01-01,Female,74,69,Married,19,No,,Retired,39844,629350,No,2,,1
100,Life event: Created,100,2011-01-01,Female,27,65,Married,45,No,,Permanent contract,39854,37878,No,2,40.0,1
101,Life event: Created,101,2011-01-01,Male,4,98,Single,0,Yes,56.0,Child,0,0,Yes,0,,1
102,Life event: Created,102,2011-01-01,Male,54,89,Married,23,No,,Permanent contract,4311,1189,No,3,,1
103,Life event: Created,103,2011-01-01,Female,39,53,Single,0,Yes,31.0,Flexible contract,3186,-3294,Yes,0,,1
104,Life event: Created,104,2011-01-01,Male,78,96,Married,0,No,,Retired,31290,172214,No,2,,1
1669,Life event: Divorced,104,2011-02-01,Male,78,96,Divorced,0,No,,Retired,31290,172214,No,2,,1
105,Life event: Created,105,2011-01-01,Male,15,43,Single,0,Yes,43.0,Child,0,0,No,0,,1
106,Life event: Created,106,2011-01-01,Female,33,28,Married,25,Yes,,Permanent contract,681,3276,No,2,,1
107,Life event: Created,107,2011-01-01,Male,43,96,Divorced,0,Yes,,Permanent contract,46836,4844,Yes,0,,1
108,Life event: Created,108,2011-01-01,Male,80,61,Married,34,No,,Retired,11645,12969,Yes,1,,1
109,Life event: Created,109,2011-01-01,Male,16,98,Single,0,Yes,52.0,Child,0,0,Yes,0,,1
110,Life event: Created,110,2011-01-01,Male,43,97,Married,34,No,,Permanent contract,19044,-7999,Yes,2,,1
111,Life event: Created,111,2011-01-01,Male,16,97,Single,0,No,,Child,0,0,No,0,,1
112,Life event: Created,112,2011-01-01,Male,54,95,Single,0,Yes,32.0,Permanent contract,19416,40287,No,0,,1
113,Life event: Created,113,2011-01-01,Male,55,96,Married,37,No,,Permanent contract,175,-8926,No,2,,1
114,Life event: Created,114,2011-01-01,Female,27,98,Single,0,No,,Unemployed,94753,18271,No,0,28.0,1
115,Life event: Created,115,2011-01-01,Female,33,82,Single,0,Yes,27.0,Permanent contract,23483,112105,Yes,0,,1
116,Life event: Created,116,2011-01-01,Male,70,95,Married,48,No,,Retired,1351,737060,Yes,1,,1
117,Life event: Created,117,2011-01-01,Male,51,96,Divorced,0,No,,Entrepreneur with personel,13765,47942,Yes,0,,1
118,Life event: Created,118,2011-01-01,Male,51,98,Married,46,Yes,,Permanent contract,49742,390652,Yes,3,,1
119,Life event: Created,119,2011-01-01,Female,33,92,Single,0,No,,Unemployed,80648,106165,Yes,0,,1
120,Life event: Created,120,2011-01-01,Male,34,96,Married,47,Yes,,Permanent contract,23647,248557,Yes,1,,1
121,Life event: Created,121,2011-01-01,Male,67,92,Married,37,No,,Permanent contract,33435,3849,Yes,2,,1
122,Life event: Created,122,2011-01-01,Male,28,49,Married,21,Yes,,Permanent contract,97753,-348,Yes,1,,1
123,Life event: Created,123,2011-01-01,Female,45,87,Single,0,Yes,34.0,Entrepreneur without personnel,28305,552464,Yes,0,,1
124,Life event: Created,124,2011-01-01,Male,65,97,Married,28,Yes,,Permanent contract,12599,-3479,No,1,,1
125,Life event: Created,125,2011-01-01,Female,56,56,Married,30,No,,Permanent contract,14570,55901,Yes,2,,1
126,Life event: Created,126,2011-01-01,Female,41,86,Married,13,No,,Entrepreneur without personnel,20994,520,Yes,2,,1
127,Life event: Created,127,2011-01-01,Male,40,93,Married,17,No,,Entrepreneur without personnel,22543,183638,No,1,,1
128,Life event: Created,128,2011-01-01,Male,92,96,Widowed,0,Yes,,Retired,38770,112,No,0,,1
129,Life event: Created,129,2011-01-01,Female,50,96,Married,30,Yes,,Permanent contract,33505,-46146,Yes,2,,1
130,Life event: Created,130,2011-01-01,Male,8,97,Single,0,Yes,34.0,Child,0,0,Yes,0,,1
131,Life event: Created,131,2011-01-01,Male,56,96,Married,27,No,,Permanent contract,23009,9422,Yes,1,,1
132,Life event: Created,132,2011-01-01,Female,52,52,Married,16,Yes,,Permanent contract,9540,340859,No,1,,1
133,Life event: Created,133,2011-01-01,Female,64,97,Married,30,Yes,,Flexible contract,5359,512681,Yes,3,,1
134,Life event: Created,134,2011-01-01,Male,36,98,Married,59,Yes,,Permanent contract,37491,18114,Yes,1,,1
135,Life event: Created,135,2011-01-01,Female,18,97,Single,0,No,,Permanent contract,5632,135357,No,0,30.0,1
136,Life event: Created,136,2011-01-01,Female,65,95,Widowed,0,No,,Permanent contract,32961,340,Yes,0,,1
137,Life event: Created,137,2011-01-01,Male,37,78,Single,0,No,,Flexible contract,50977,-28096,No,0,,1
138,Life event: Created,138,2011-01-01,Male,39,89,Married,21,No,,Permanent contract,22149,479628,No,2,,1
139,Life event: Created,139,2011-01-01,Female,33,83,Married,27,Yes,,Permanent contract,45608,630,Yes,2,,1
140,Life event: Created,140,2011-01-01,Male,11,92,Single,0,No,,Child,0,0,No,0,,1
141,Life event: Created,141,2011-01-01,Female,1,97,Single,0,No,,Child,0,0,Yes,0,32.0,1
142,Life event: Created,142,2011-01-01,Male,20,98,Single,0,Yes,50.0,Permanent contract,4303,600,Yes,0,,1
143,Life event: Created,143,2011-01-01,Female,28,95,Married,49,No,,Permanent contract,6283,6556,No,1,32.0,1
144,Life event: Created,144,2011-01-01,Male,39,95,Married,41,No,,Flexible contract,61710,6382,No,2,,1
145,Life event: Created,145,2011-01-01,Male,105,28,Widowed,0,No,,Retired,18263,60696,No,0,,1
146,Life event: Created,146,2011-01-01,Female,45,95,Single,0,No,,Flexible contract,27487,8535,No,0,,1
147,Life event: Created,147,2011-01-01,Female,43,95,Married,45,No,,Flexible contract,19269,43576,Yes,1,,1
148,Life event: Created,148,2011-01-01,Male,5,94,Single,0,No,,Child,0,0,Yes,0,,1
149,Life event: Created,149,2011-01-01,Male,25,97,Single,0,No,,Permanent contract,21653,622,No,0,,1
150,Life event: Created,150,2011-01-01,Male,56,15,Married,47,No,,Permanent contract,43480,42140,No,1,,1
151,Life event: Created,151,2011-01-01,Male,23,22,Single,0,No,,Permanent contract,37830,663,No,0,,1
152,Life event: Created,152,2011-01-01,Male,14,97,Single,0,No,,Child,0,0,Yes,0,,1
153,Life event: Created,153,2011-01-01,Female,17,92,Single,0,No,,Child,0,0,No,0,17.0,1
1711,Life event: Adulthood,153,2012-03-09,Female,18,92,Single,0,No,,Flexible contract,23540,430108,No,0,17.0,1
154,Life event: Created,154,2011-01-01,Male,40,96,Married,24,Yes,,Permanent contract,4861,155786,No,2,,1
155,Life event: Created,155,2011-01-01,Male,0,88,Single,0,No,,Child,0,0,No,0,,1
156,Life event: Created,156,2011-01-01,Female,66,7,Divorced,0,No,,Permanent contract,46012,-34422,No,0,,1
157,Life event: Created,157,2011-01-01,Male,41,85,Single,0,No,,Flexible contract,13243,83416,No,0,,1
158,Life event: Created,158,2011-01-01,Male,60,5,Married,35,No,,Permanent contract,23113,8578,Yes,2,,1
159,Life event: Created,159,2011-01-01,Male,37,98,Single,0,No,,Permanent contract,50972,-15620,Yes,0,,1
160,Life event: Created,160,2011-01-01,Male,65,95,Married,30,Yes,,Permanent contract,29578,45460,Yes,2,,1
161,Life event: Created,161,2011-01-01,Male,30,89,Single,0,Yes,28.0,Permanent contract,22351,152335,No,0,,1
162,Life event: Created,162,2011-01-01,Male,50,97,Single,0,Yes,46.0,Entrepreneur with personel,85646,1637,Yes,0,,1
163,Life event: Created,163,2011-01-01,Male,14,80,Single,0,Yes,31.0,Child,0,0,No,0,,1
164,Life event: Created,164,2011-01-01,Male,42,98,Married,20,No,,Entrepreneur without personnel,26705,46895,Yes,1,,1
165,Life event: Created,165,2011-01-01,Male,63,44,Married,37,No,,Permanent contract,9190,-2053,No,3,,1
166,Life event: Created,166,2011-01-01,Female,75,93,Married,27,Yes,,Retired,1361,84152,No,1,,1
167,Life event: Created,167,2011-01-01,Male,46,96,Married,14,No,,Permanent contract,26459,-44379,Yes,1,,1
168,Life event: Created,168,2011-01-01,Female,47,97,Married,13,No,,Permanent contract,11620,54567,Yes,3,,1
169,Life event: Created,169,2011-01-01,Female,68,46,Married,2,Yes,,Retired,94788,4072,No,2,,1
170,Life event: Created,170,2011-01-01,Male,43,94,Married,2,Yes,,Permanent contract,10812,52,Yes,1,,1
171,Life event: Created,171,2011-01-01,Male,65,79,Married,42,No,,Permanent contract,47058,157440,No,1,,1
172,Life event: Created,172,2011-01-01,Female,10,29,Single,0,No,,Child,0,0,Yes,0,32.0,1
173,Life event: Created,173,2011-01-01,Male,12,96,Single,0,No,,Child,0,0,No,0,,1
174,Life event: Created,174,2011-01-01,Male,45,70,Single,0,Yes,26.0,Permanent contract,25167,42576,No,0,,1
175,Life event: Created,175,2011-01-01,Female,40,69,Divorced,0,No,,Flexible contract,4187,686606,Yes,0,,1
176,Life event: Created,176,2011-01-01,Female,28,98,Single,0,No,,Permanent contract,24425,11819,Yes,0,30.0,1
177,Life event: Created,177,2011-01-01,Female,90,94,Widowed,0,Yes,,Retired,92581,-41279,No,0,,1
178,Life event: Created,178,2011-01-01,Female,23,0,Single,0,No,,Entrepreneur with personel,353,163394,Yes,0,32.0,1
179,Life event: Created,179,2011-01-01,Female,20,1,Single,0,Yes,28.0,Permanent contract,42221,262495,No,0,26.0,1
180,Life event: Created,180,2011-01-01,Male,34,98,Married,8,Yes,,Permanent contract,2426,91158,Yes,2,,1
181,Life event: Created,181,2011-01-01,Female,65,97,Married,2,No,,Entrepreneur without personnel,10724,59459,No,1,,1
182,Life event: Created,182,2011-01-01,Male,16,98,Single,0,No,,Child,0,0,No,0,,1
183,Life event: Created,183,2011-01-01,Female,79,40,Married,33,Yes,,Retired,26924,19529,Yes,1,,1
184,Life event: Created,184,2011-01-01,Male,39,88,Married,5,No,,Entrepreneur with personel,6357,-3619,No,1,,1
185,Life event: Created,185,2011-01-01,Male,48,96,Single,0,No,,Flexible contract,35095,923,Yes,0,,1
186,Life event: Created,186,2011-01-01,Male,20,97,Single,0,No,,Permanent contract,41994,498076,No,0,,1
187,Life event: Created,187,2011-01-01,Female,4,83,Single,0,No,,Child,0,0,Yes,0,33.0,1
188,Life event: Created,188,2011-01-01,Male,52,98,Married,5,Yes,,Entrepreneur without personnel,20483,-41922,No,1,,1
189,Life event: Created,189,2011-01-01,Male,64,97,Married,21,Yes,,Permanent contract,2777,2874,No,1,,1
190,Life event: Created,190,2011-01-01,Female,22,97,Single,0,Yes,36.0,Entrepreneur without personnel,69781,259995,No,0,32.0,1
191,Life event: Created,191,2011-01-01,Female,3,12,Single,0,No,,Child,0,0,No,0,36.0,1
192,Life event: Created,192,2011-01-01,Female,73,67,Married,0,Yes,,Retired,59755,193291,Yes,1,,1
1672,Life event: Divorced,192,2011-04-17,Female,73,67,Divorced,0,Yes,,Retired,59755,193291,Yes,1,,1
193,Life event: Created,193,2011-01-01,Male,18,53,Single,0,Yes,42.0,Flexible contract,36234,15533,Yes,0,,1
194,Life event: Created,194,2011-01-01,Male,102,15,Married,38,No,,Retired,109123,-2939,No,3,,1
195,Life event: Created,195,2011-01-01,Male,62,7,Married,7,No,,Permanent contract,9546,-41081,No,1,,1
196,Life event: Created,196,2011-01-01,Female,33,82,Single,0,Yes,46.0,Entrepreneur with personel,90542,145434,Yes,0,,1
197,Life event: Created,197,2011-01-01,Female,24,81,Single,0,No,,Permanent contract,74493,46229,No,0,32.0,1
198,Life event: Created,198,2011-01-01,Male,71,86,Widowed,0,No,,Retired,19718,188736,Yes,0,,1
199,Life event: Created,199,2011-01-01,Female,53,95,Married,13,No,,Flexible contract,39910,187513,No,2,,1
200,Life event: Created,200,2011-01-01,Male,46,30,Married,17,Yes,,Entrepreneur without personnel,7723,557,Yes,2,,1
201,Life event: Created,201,2011-01-01,Female,65,88,Widowed,0,Yes,,Permanent contract,14399,1296,No,0,,1
202,Life event: Created,202,2011-01-01,Male,95,16,Widowed,0,No,,Retired,19264,150598,No,0,,1
203,Life event: Created,203,2011-01-01,Male,41,85,Married,23,No,,Permanent contract,12759,-1016,No,2,,1
204,Life event: Created,204,2011-01-01,Male,15,84,Single,0,Yes,37.0,Child,0,0,Yes,0,,1
205,Life event: Created,205,2011-01-01,Male,13,97,Single,0,No,,Child,0,0,Yes,0,,1
206,Life event: Created,206,2011-01-01,Male,51,94,Married,32,No,,Permanent contract,7549,99901,Yes,2,,1
207,Life event: Created,207,2011-01-01,Female,43,98,Single,0,Yes,54.0,Entrepreneur without personnel,28757,468878,Yes,0,,1
208,Life event: Created,208,2011-01-01,Male,16,97,Single,0,Yes,36.0,Child,0,0,Yes,0,,1
209,Life event: Created,209,2011-01-01,Female,34,96,Married,37,No,,Flexible contract,939,11583,No,3,,1
210,Life event: Created,210,2011-01-01,Male,10,91,Single,0,No,,Child,0,0,Yes,0,,1
211,Life event: Created,211,2011-01-01,Male,63,84,Married,47,No,,Permanent contract,36299,-35556,No,1,,1
212,Life event: Created,212,2011-01-01,Female,18,74,Single,0,No,,Flexible contract,96758,151207,No,0,32.0,1
213,Life event: Created,213,2011-01-01,Male,73,72,Married,20,Yes,,Retired,39171,198785,Yes,2,,1
214,Life event: Created,214,2011-01-01,Female,16,98,Single,0,No,,Child,0,0,Yes,0,24.0,1
215,Life event: Created,215,2011-01-01,Male,41,88,Divorced,0,Yes,,Permanent contract,28641,-10935,No,0,,1
216,Life event: Created,216,2011-01-01,Female,20,48,Single,0,No,,Permanent contract,24807,246234,No,0,31.0,1
217,Life event: Created,217,2011-01-01,Female,52,73,Single,0,Yes,48.0,Flexible contract,23406,164395,No,0,,1
218,Life event: Created,218,2011-01-01,Male,24,78,Single,0,No,,Flexible contract,30375,5139,No,0,,1
219,Life event: Created,219,2011-01-01,Female,26,34,Single,0,No,,Permanent contract,194905,383510,No,0,37.0,1
220,Life event: Created,220,2011-01-01,Male,14,81,Single,0,Yes,21.0,Child,0,0,Yes,0,,1
221,Life event: Created,221,2011-01-01,Male,1,91,Single,0,Yes,40.0,Child,0,0,No,0,,1
222,Life event: Created,222,2011-01-01,Male,65,83,Married,8,Yes,,Permanent contract,17304,184078,No,2,,1
223,Life event: Created,223,2011-01-01,Female,44,94,Single,0,No,,Permanent contract,14127,12416,Yes,0,,1
224,Life event: Created,224,2011-01-01,Male,48,92,Single,0,No,,Flexible contract,1210,101757,Yes,0,,1
225,Life event: Created,225,2011-01-01,Female,59,7,Married,46,No,,Unemployed,49481,66309,No,2,,1
226,Life event: Created,226,2011-01-01,Male,32,62,Single,0,Yes,44.0,Permanent contract,18986,388096,No,0,,1
227,Life event: Created,227,2011-01-01,Female,39,90,Married,46,No,,Permanent contract,36277,475129,No,3,,1
228,Life event: Created,228,2011-01-01,Female,28,68,Single,0,No,,Permanent contract,8373,969,Yes,0,32.0,1
229,Life event: Created,229,2011-01-01,Female,68,96,Divorced,0,Yes,,Retired,42674,1351,No,0,,1
230,Life event: Created,230,2011-01-01,Male,30,96,Married,31,Yes,,Unemployed,20718,22,Yes,3,,1
231,Life event: Created,231,2011-01-01,Female,45,98,Single,0,No,,Permanent contract,1088,5987,No,0,,1
232,Life event: Created,232,2011-01-01,Male,41,98,Married,22,No,,Permanent contract,33253,140994,Yes,1,,1
233,Life event: Created,233,2011-01-01,Male,90,12,Married,51,No,,Retired,18722,-12854,No,2,,1
234,Life event: Created,234,2011-01-01,Male,45,88,Single,0,No,,Permanent contract,22761,63477,Yes,0,,1
235,Life event: Created,235,2011-01-01,Male,69,94,Married,34,Yes,,Retired,2398,136240,No,1,,1
236,Life event: Created,236,2011-01-01,Male,87,98,Widowed,0,Yes,,Retired,5072,529415,No,0,,1
237,Life event: Created,237,2011-01-01,Male,53,63,Married,46,Yes,,Flexible contract,14760,11388,Yes,1,,1
238,Life event: Created,238,2011-01-01,Male,53,23,Single,0,No,,Permanent contract,29778,-27719,Yes,0,,1
239,Life event: Created,239,2011-01-01,Male,45,98,Married,18,Yes,,Permanent contract,93035,107066,Yes,1,,1
240,Life event: Created,240,2011-01-01,Female,66,83,Married,10,Yes,,Flexible contract,35348,425,No,1,,1
241,Life event: Created,241,2011-01-01,Female,10,98,Single,0,No,,Child,0,0,Yes,0,23.0,1
242,Life event: Created,242,2011-01-01,Male,65,28,Divorced,0,Yes,,Permanent contract,38055,223258,No,0,,1
243,Life event: Created,243,2011-01-01,Female,28,90,Married,23,Yes,,Flexible contract,21137,54168,No,1,32.0,1
244,Life event: Created,244,2011-01-01,Female,57,98,Single,0,No,,Entrepreneur without personnel,53937,86226,No,0,,1
